Gene stable ID	Gene name
ENSG00000000419	DPM1
ENSG00000001497	LAS1L
ENSG00000002549	LAP3
ENSG00000002834	LASP1
ENSG00000003756	RBM5
ENSG00000004059	ARF5
ENSG00000004534	RBM6
ENSG00000004776	HSPB6
ENSG00000004864	SLC25A13
ENSG00000004961	HCCS
ENSG00000005007	UPF1
ENSG00000005156	LIG3
ENSG00000005175	RPAP3
ENSG00000005486	RHBDD2
ENSG00000006025	OSBPL7
ENSG00000006451	RALA
ENSG00000006638	TBXA2R
ENSG00000007080	CCDC124
ENSG00000007392	LUC7L
ENSG00000007545	CRAMP1L
ENSG00000007923	DNAJC11
ENSG00000008018	PSMB1
ENSG00000008394	MGST1
ENSG00000008952	SEC62
ENSG00000008988	RPS20
ENSG00000009307	CSDE1
ENSG00000009335	UBE3C
ENSG00000009954	BAZ1B
ENSG00000010244	ZNF207
ENSG00000010256	UQCRC1
ENSG00000010292	NCAPD2
ENSG00000010322	NISCH
ENSG00000011007	TCEB3
ENSG00000011028	MRC2
ENSG00000011052	NME2
ENSG00000011243	AKAP8L
ENSG00000011304	PTBP1
ENSG00000011454	RABGAP1
ENSG00000011478	QPCTL
ENSG00000011638	TMEM159
ENSG00000013275	PSMC4
ENSG00000013523	ANGEL1
ENSG00000013583	HEBP1
ENSG00000014123	UFL1
ENSG00000014824	SLC30A9
ENSG00000014919	COX15
ENSG00000017260	ATP2C1
ENSG00000018510	AGPS
ENSG00000018610	CXorf56
ENSG00000018625	ATP1A2
ENSG00000020129	NCDN
ENSG00000020181	GPR124
ENSG00000021776	AQR
ENSG00000021826	CPS1
ENSG00000023191	RNH1
ENSG00000023228	NDUFS1
ENSG00000023318	ERP44
ENSG00000023516	AKAP11
ENSG00000023734	STRAP
ENSG00000023902	PLEKHO1
ENSG00000024048	UBR2
ENSG00000024422	EHD2
ENSG00000025796	SEC63
ENSG00000027697	IFNGR1
ENSG00000028203	VEZT
ENSG00000029639	TFB1M
ENSG00000030066	NUP160
ENSG00000031698	SARS
ENSG00000032389	TSSC1
ENSG00000032444	PNPLA6
ENSG00000032742	IFT88
ENSG00000033011	ALG1
ENSG00000033050	ABCF2
ENSG00000033100	CHPF2
ENSG00000033170	FUT8
ENSG00000033627	ATP6V0A1
ENSG00000034152	MAP2K3
ENSG00000034510	TMSB10
ENSG00000034693	PEX3
ENSG00000037241	RPL26L1
ENSG00000037474	NSUN2
ENSG00000038274	MAT2B
ENSG00000038358	EDC4
ENSG00000038382	TRIO
ENSG00000038532	CLEC16A
ENSG00000039123	SKIV2L2
ENSG00000039650	PNKP
ENSG00000042088	TDP1
ENSG00000042317	SPATA7
ENSG00000042429	MED17
ENSG00000042445	RETSAT
ENSG00000042753	AP2S1
ENSG00000044115	CTNNA1
ENSG00000047315	POLR2B
ENSG00000048162	NOP16
ENSG00000048828	FAM120A
ENSG00000049541	RFC2
ENSG00000049759	NEDD4L
ENSG00000050405	LIMA1
ENSG00000051596	THOC3
ENSG00000052126	PLEKHA5
ENSG00000052723	SIKE1
ENSG00000052749	RRP12
ENSG00000052841	TTC17
ENSG00000053372	MRTO4
ENSG00000053747	LAMA3
ENSG00000054116	TRAPPC3
ENSG00000054118	THRAP3
ENSG00000054282	SDCCAG8
ENSG00000054523	KIF1B
ENSG00000054598	FOXC1
ENSG00000054793	ATP9A
ENSG00000055044	NOP58
ENSG00000055147	FAM114A2
ENSG00000055163	CYFIP2
ENSG00000055917	PUM2
ENSG00000056097	ZFR
ENSG00000057252	SOAT1
ENSG00000057608	GDI2
ENSG00000057935	MTA3
ENSG00000058272	PPP1R12A
ENSG00000058668	ATP2B4
ENSG00000059377	TBXAS1
ENSG00000059378	PARP12
ENSG00000059573	ALDH18A1
ENSG00000060138	YBX3
ENSG00000060237	WNK1
ENSG00000060688	SNRNP40
ENSG00000061794	MRPS35
ENSG00000061987	MON2
ENSG00000062485	CS
ENSG00000062582	MRPS24
ENSG00000062716	VMP1
ENSG00000063241	ISOC2
ENSG00000063244	U2AF2
ENSG00000063322	MED29
ENSG00000063660	GPC1
ENSG00000064545	TMEM161A
ENSG00000064601	CTSA
ENSG00000064607	SUGP2
ENSG00000064666	CNN2
ENSG00000064886	CHI3L2
ENSG00000064933	PMS1
ENSG00000065054	SLC9A3R2
ENSG00000065135	GNAI3
ENSG00000065154	OAT
ENSG00000065183	WDR3
ENSG00000065268	WDR18
ENSG00000065413	ANKRD44
ENSG00000065485	PDIA5
ENSG00000065534	MYLK
ENSG00000065548	ZC3H15
ENSG00000065615	CYB5R4
ENSG00000065911	MTHFD2
ENSG00000066027	PPP2R5A
ENSG00000066084	DIP2B
ENSG00000066117	SMARCD1
ENSG00000066279	ASPM
ENSG00000066557	LRRC40
ENSG00000066654	THUMPD1
ENSG00000066777	ARFGEF1
ENSG00000066926	FECH
ENSG00000066933	MYO9A
